fit_id,county_id,county,max_t,CDR_model,IHR_model,R₀_model,immunity_model
1,30,Orange,30,gmrf,constant,seq-informed,seq-informed
2,30,Orange,30,gmrf,constant,constant,seq-informed
3,30,Orange,30,gmrf,constant,gmrf,constant
4,30,Orange,30,gmrf,constant,constant,gmrf
5,30,Orange,31,gmrf,constant,seq-informed,seq-informed
6,30,Orange,31,gmrf,constant,constant,seq-informed
7,30,Orange,31,gmrf,constant,gmrf,constant
8,30,Orange,31,gmrf,constant,constant,gmrf
9,30,Orange,32,gmrf,constant,seq-informed,seq-informed
10,30,Orange,32,gmrf,constant,constant,seq-informed
11,30,Orange,32,gmrf,constant,gmrf,constant
12,30,Orange,32,gmrf,constant,constant,gmrf
13,30,Orange,33,gmrf,constant,seq-informed,seq-informed
14,30,Orange,33,gmrf,constant,constant,seq-informed
15,30,Orange,33,gmrf,constant,gmrf,constant
16,30,Orange,33,gmrf,constant,constant,gmrf
17,30,Orange,34,gmrf,constant,seq-informed,seq-informed
18,30,Orange,34,gmrf,constant,constant,seq-informed
19,30,Orange,34,gmrf,constant,gmrf,constant
20,30,Orange,34,gmrf,constant,constant,gmrf
21,30,Orange,35,gmrf,constant,seq-informed,seq-informed
22,30,Orange,35,gmrf,constant,constant,seq-informed
23,30,Orange,35,gmrf,constant,gmrf,constant
24,30,Orange,35,gmrf,constant,constant,gmrf
25,30,Orange,36,gmrf,constant,seq-informed,seq-informed
26,30,Orange,36,gmrf,constant,constant,seq-informed
27,30,Orange,36,gmrf,constant,gmrf,constant
28,30,Orange,36,gmrf,constant,constant,gmrf
29,64,California,30,gmrf,constant,seq-informed,seq-informed
30,64,California,30,gmrf,constant,constant,seq-informed
31,64,California,30,gmrf,constant,gmrf,constant
32,64,California,30,gmrf,constant,constant,gmrf
33,64,California,31,gmrf,constant,seq-informed,seq-informed
34,64,California,31,gmrf,constant,constant,seq-informed
35,64,California,31,gmrf,constant,gmrf,constant
36,64,California,31,gmrf,constant,constant,gmrf
37,64,California,32,gmrf,constant,seq-informed,seq-informed
38,64,California,32,gmrf,constant,constant,seq-informed
39,64,California,32,gmrf,constant,gmrf,constant
40,64,California,32,gmrf,constant,constant,gmrf
41,64,California,33,gmrf,constant,seq-informed,seq-informed
42,64,California,33,gmrf,constant,constant,seq-informed
43,64,California,33,gmrf,constant,gmrf,constant
44,64,California,33,gmrf,constant,constant,gmrf
45,64,California,34,gmrf,constant,seq-informed,seq-informed
46,64,California,34,gmrf,constant,constant,seq-informed
47,64,California,34,gmrf,constant,gmrf,constant
48,64,California,34,gmrf,constant,constant,gmrf
49,64,California,35,gmrf,constant,seq-informed,seq-informed
50,64,California,35,gmrf,constant,constant,seq-informed
51,64,California,35,gmrf,constant,gmrf,constant
52,64,California,35,gmrf,constant,constant,gmrf
53,64,California,36,gmrf,constant,seq-informed,seq-informed
54,64,California,36,gmrf,constant,constant,seq-informed
55,64,California,36,gmrf,constant,gmrf,constant
56,64,California,36,gmrf,constant,constant,gmrf
57,30,Orange,30,gmrf,constant,constant,seq-informed-bin
58,30,Orange,31,gmrf,constant,constant,seq-informed-bin
59,30,Orange,32,gmrf,constant,constant,seq-informed-bin
60,30,Orange,33,gmrf,constant,constant,seq-informed-bin
61,30,Orange,34,gmrf,constant,constant,seq-informed-bin
62,30,Orange,35,gmrf,constant,constant,seq-informed-bin
63,30,Orange,36,gmrf,constant,constant,seq-informed-bin
64,64,California,30,gmrf,constant,constant,seq-informed-bin
65,64,California,31,gmrf,constant,constant,seq-informed-bin
66,64,California,32,gmrf,constant,constant,seq-informed-bin
67,64,California,33,gmrf,constant,constant,seq-informed-bin
68,64,California,34,gmrf,constant,constant,seq-informed-bin
69,64,California,35,gmrf,constant,constant,seq-informed-bin
70,64,California,36,gmrf,constant,constant,seq-informed-bin
71,30,Orange,30,constant,gmrf,seq-informed-bin,seq-informed-bin
72,30,Orange,30,constant,gmrf,constant,seq-informed-bin
73,30,Orange,30,constant,gmrf,gmrf,constant
74,30,Orange,30,constant,gmrf,constant,gmrf
